"source_principale","degre_fidelite","degre_label","count"
"L'Iliade","1","Reprise fidèle","40"
"L'Iliade","2","Déplacement","9"
"L'Iliade","3","Invention sur fond emprunté","1"
"L'Iliade","4","Invention contradictoire","9"
"Le Cycle Troyen","1","Reprise fidèle","0"
"Le Cycle Troyen","2","Déplacement","11"
"Le Cycle Troyen","3","Invention sur fond emprunté","2"
"Le Cycle Troyen","4","Invention contradictoire","10"
"Héritage Gréco-Romain","1","Reprise fidèle","0"
"Héritage Gréco-Romain","2","Déplacement","1"
"Héritage Gréco-Romain","3","Invention sur fond emprunté","1"
"Héritage Gréco-Romain","4","Invention contradictoire","9"
"Adaptation Cinéma","1","Reprise fidèle","0"
"Adaptation Cinéma","2","Déplacement","0"
"Adaptation Cinéma","3","Invention sur fond emprunté","66"
"Adaptation Cinéma","4","Invention contradictoire","20"
